,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,Windspeed,Max Temp
368,alta floresta,7,BR,1592773597,62,-9.88,-56.09,81.01,4.32,93.2
369,nizhneyansk,,RU,,,,,,,
370,basoko,97,CD,1592773598,64,1.24,23.62,79.29,1.16,79.74
371,severo-kurilsk,83,RU,1592773598,83,50.68,156.12,46.45,6.44,45.05
372,inhambane,0,MZ,1592773598,77,-23.86,35.38,65.19,4.14,65.59
373,pochutla,40,MX,1592773598,49,15.74,-96.47,93.2,9.17,91.4
374,talavera de la reina,0,ES,1592773598,30,39.96,-4.83,75.52,4.29,78.96
375,evensk,86,RU,1592773431,53,61.95,159.23,61.7,2.93,60.82
376,tabursuq,40,TN,1592773599,53,36.46,9.25,75.2,6.93,77.0
377,high level,75,CA,1592773599,47,58.52,-117.14,77,12.75,78.8
378,henderson,1,US,1592773599,7,36.04,-114.98,106,19.46,104.0
379,pafos,40,CY,1592773599,64,34.77,32.42,75.2,6.93,75.2
380,tammisaari,0,FI,1592773600,73,59.97,23.43,59,6.76,62.01
381,tallahassee,40,US,1592773600,41,30.44,-84.28,95,4.7,93.0
382,shakhtinsk,10,KZ,1592773600,61,49.71,72.59,46.4,4.47,41.0
383,hirara,100,JP,1592773600,85,24.8,125.28,83.64,13.98,83.53
384,vostok,100,RU,1592773597,100,46.49,135.88,46.47,4.12,46.2
385,asosa,87,ET,1592773326,85,10.07,34.53,61.99,3.94,61.99
386,sistranda,96,NO,1592773601,64,63.73,8.83,68,1.12,66.2
387,la ronge,20,CA,1592773601,51,55.1,-105.28,62.6,5.82,60.8
388,kruisfontein,0,ZA,1592773601,84,-34,24.73,53.73,6.15,53.78
389,bubaque,35,GW,1592773601,86,11.28,-15.83,81.7,15.88,81.88
390,conde,40,BR,1592773601,88,-7.26,-34.91,77,8.05,77.0
391,vieste,20,IT,1592773602,60,41.88,16.18,73,11.41,73.99
392,shingu,100,JP,1592773602,92,33.73,135.98,65.66,18.72,66.13
393,jurm,0,AF,1592773602,25,36.86,70.83,67.05,3.18,68.09
394,calama,0,CL,1592773512,7,-22.47,-68.93,69.8,20.8,71.6
395,whitehorse,75,CA,1592773323,33,60.72,-135.05,59,9.17,57.2
396,bilibino,26,RU,1592773378,32,68.05,166.44,77.81,5.84,75.7
397,buba,41,GW,1592773603,86,11.58,-15,80.31,7.49,81.52
398,muttupet,100,IN,1592773603,74,10.4,79.48,81.23,9.06,82.11
399,varhaug,75,NO,1592773603,72,58.61,5.65,62.6,12.75,62.6
400,karaul,,RU,,,,,,,
401,nanakuli,75,US,1592773603,58,21.39,-158.15,84,10.29,82.4
402,hualmay,22,PE,1592773604,74,-11.1,-77.61,66.43,8.23,67.98
403,macherla,100,IN,1592773564,60,16.48,79.43,82.26,7.72,83.17
404,galesong,20,ID,1592773604,100,-5.32,119.37,71.6,2.24,73.4
405,maunabo,,US,,,,,,,
406,auki,100,SB,1592773605,80,-8.77,160.7,80.69,2.95,78.62
407,coquimbo,3,CL,1592773605,72,-29.95,-71.34,60.8,11.41,62.6
408,mukhen,100,RU,1592773605,95,48.1,136.1,51.71,3.96,51.62
409,cayambe,75,EC,1592773605,33,0.05,-78.13,73.4,8.05,75.2
410,huarmey,36,PE,1592773605,72,-10.07,-78.15,67.5,9.26,69.12
411,taltal,22,CL,1592773606,62,-25.4,-70.48,64.06,3.91,65.25
412,burica,,PA,,,,,,,
413,aklavik,75,CA,1592773439,62,68.22,-135.01,55.4,5.82,46.4
414,zolotinka,,RU,,,,,,,
415,male,40,MV,1592773606,79,4.17,73.51,84.2,11.41,84.2
416,nurota,7,UZ,1592773607,29,40.56,65.69,78.8,13.87,80.6
417,charters towers,0,AU,1592773323,68,-20.1,146.27,58.91,8.14,58.15
418,molteno,0,ZA,1592773607,76,-31.4,26.36,37.35,2.01,38.37
419,olafsvik,17,IS,1592773607,72,64.89,-23.71,55,23,56.46
420,okha,100,RU,1592773607,93,53.57,142.95,40.89,9.33,40.15
421,menden,69,DE,1592773607,64,51.43,7.8,69.01,4.7,72.0
422,ilulissat,40,GL,1592773608,58,69.22,-51.1,48.2,5.82,44.6
423,chulumani,30,BO,1592773608,51,-16.41,-67.53,73.69,4.54,75.65
424,tefe,20,BR,1592773608,59,-3.35,-64.71,91.4,9.17,91.4
425,causapscal,52,CA,1592773608,49,48.35,-67.23,83.91,7.52,85.68
426,manthani,99,IN,1592773609,76,18.65,79.67,81.01,6.2,80.96
427,ganzhou,99,CN,1592773609,94,28.82,115.43,75.13,1.5,75.27
428,south river,75,CA,1592773609,42,45.83,-79.38,89.01,13.87,89.01
429,nyurba,56,RU,1592773609,77,63.28,118.33,63.3,5.99,61.43
430,nome,1,US,1592773609,72,64.5,-165.41,66,10.29,64.99
431,pangnirtung,75,CA,1592773609,70,66.15,-65.71,46.4,16.11,44.6
432,maniitsoq,1,GL,1592773610,61,65.42,-52.9,48.43,9.28,48.49
433,faanui,98,PF,1592773610,82,-16.48,-151.75,78.1,21.7,78.1
434,kimbe,51,PG,1592773610,86,-5.55,150.14,76.39,4.16,75.16
435,jibuti,1,DJ,1592773610,37,11.5,42.5,98.6,3.36,98.6
436,havoysund,20,NO,1592773593,70,71,24.66,48.2,8.05,48.2
437,serenje,0,ZM,1592773611,65,-13.23,30.24,48.79,5.37,50.16
438,sola,52,VU,1592773576,84,-13.88,167.55,81.09,18.59,80.91
439,avera,,PF,,,,,,,
440,moose factory,75,CA,1592773611,94,51.26,-80.61,68,5.01,62.6
441,port macquarie,1,AU,1592773386,98,-31.43,152.92,39.99,6.67,41.0
442,sivaki,100,RU,1592773612,98,52.63,126.75,49.57,6.8,49.75
443,shenjiamen,100,CN,1592773612,99,29.96,122.3,72.75,9.78,72.25
444,chaa-khol,,RU,,,,,,,
445,polunochnoye,100,RU,1592773612,95,60.87,60.42,45.19,2.95,45.46
446,samusu,,WS,,,,,,,
447,upernavik,100,GL,1592773612,72,72.79,-56.15,41.54,3.51,41.38
448,tabory,6,RU,1592773613,97,58.52,64.55,42.08,5.84,43.12
449,gweru,0,ZW,1592773613,56,-19.45,29.82,47.48,5.53,48.69
450,ola,4,RU,1592773613,75,59.58,151.28,53.89,2.71,52.23
451,kenora,75,CA,1592773613,82,49.82,-94.43,62.01,10.29,59.0
452,knysna,13,ZA,1592773613,93,-34.04,23.05,53.6,4.7,53.6
453,ayan,100,RU,1592773614,98,56.45,138.17,42.64,8.03,42.49
454,tabiauea,,KI,,,,,,,
455,bandarbeyla,39,SO,1592773614,74,9.49,50.81,80.2,28.45,80.49
456,baley,41,RU,1592773614,77,51.6,116.63,49.32,1.88,46.8
457,asfi,0,MA,1592773614,68,32.3,-9.24,71.22,23,72.01
458,kirishi,0,RU,1592773615,72,59.45,32.02,57.99,4.41,57.99
459,thinadhoo,77,MV,1592773615,70,0.53,72.93,83.89,7.67,84.07
460,phan thiet,100,VN,1592773615,87,10.93,108.1,77.85,2.95,78.17
461,dornbirn,1,AT,1592773615,68,47.42,9.73,66,1.12,68.0
462,ilo,15,PE,1592773615,72,-17.64,-71.34,63.95,5.53,64.89
463,manokwari,0,ID,1592773616,71,-0.87,134.08,79.97,4.81,79.79
464,vangaindrano,85,MG,1592773616,89,-23.35,47.6,66.51,3.78,66.79
465,bambanglipuro,90,ID,1592773616,88,-7.95,110.28,76.3,7.99,76.33
466,tateyama,100,JP,1592773616,88,34.98,139.87,70,5.99,71.01
467,constitucion,40,MX,1592773617,30,23.99,-104.67,82.99,6.93,82.4
468,leshukonskoye,64,RU,1592773617,82,64.9,45.76,39.29,3.69,41.88
469,rakhya,,RU,,,,,,,
470,tanout,28,NE,1592773617,10,14.97,8.89,95.18,8.99,96.19
471,nizhniy tsasuchey,99,RU,1592773617,60,50.52,115.13,57.56,3,57.43
472,sambava,64,MG,1592773568,90,-14.27,50.17,72.95,14.36,73.2
473,centralina,0,BR,1592773618,43,-18.58,-49.2,74.8,5.41,80.85
474,north ogden,1,US,1592773618,16,41.31,-111.96,84.2,3.36,84.2
475,olinda,40,BR,1592773618,65,-8.01,-34.86,80.6,13.87,80.6
476,amalapuram,100,IN,1592773618,85,16.58,82.02,79.61,3.18,79.47
477,qatana,0,SY,1592773619,40,33.44,36.08,73.4,10.29,75.2
478,grand-santi,23,GF,1592773619,91,4.25,-54.38,78.42,4.34,84.56
479,eldikan,,RU,,,,,,,
480,valle de allende,61,MX,1592773619,21,26.93,-105.4,87.51,0.96,87.85
481,careiro da varzea,40,BR,1592773619,62,-3.2,-59.81,89.6,4.7,89.6
482,shelburne,20,CA,1592773620,43,44.08,-80.2,87.8,18.34,89.6
483,harper,99,LR,1592773620,86,4.38,-7.72,76.44,11.03,76.93
484,bahia honda,94,CU,1592773620,75,22.9,-83.16,84.9,5.41,85.1
485,sovetskiy,91,RU,1592773620,92,61.36,63.58,43.72,7.65,45.66
486,turayf,0,SA,1592773620,32,31.67,38.66,80.6,6.93,84.2
487,karwar,96,IN,1592773387,85,14.8,74.13,79.47,3.83,79.66
488,solnechnyy,100,RU,1592773555,94,50.72,136.63,45.82,7.87,46.31
489,el tigre,40,VE,1592773621,52,8.89,-64.25,87.62,14.76,88.97
490,bathsheba,40,BB,1592773621,70,13.22,-59.52,86,23.04,86.0
491,coolum beach,37,AU,1592773621,83,-26.53,153.1,59,3,54.0
492,vanavara,35,RU,1592773621,78,60.34,102.28,61.36,4.54,62.71
493,urdzhar,,KZ,,,,,,,
494,ulaanbaatar,75,MN,1592773622,87,47.91,106.88,55.4,1.83,55.4
495,pudozh,0,RU,1592773622,70,61.81,36.53,48.56,3.15,49.73
496,mincivan,51,AZ,1592773622,56,39.03,46.72,69.85,3.2,71.13
497,college,90,US,1592773622,87,64.86,-147.8,53.6,10.29,53.6
498,vanimo,19,PG,1592773623,83,-2.67,141.3,77.86,3.76,77.76
499,teahupoo,40,PF,1592773623,69,-17.83,-149.27,82.4,4.7,82.4
500,weiden,1,DE,1592773623,77,49.68,12.16,62.6,2.04,68.0
501,badou,100,TG,1592773623,92,7.58,0.6,74.48,3.02,74.61
502,houma,75,US,1592773473,78,29.6,-90.72,88,4.7,86.0
503,deputatskiy,0,RU,1592773623,25,69.3,139.9,78.84,1.52,76.75
504,sarishabari,4,BD,1592773503,86,24.73,89.83,81.16,11.05,81.75
505,mingaora,0,PK,1592773565,35,34.78,72.36,78.19,5.84,78.8
506,porto novo,20,CV,1592773624,69,17.02,-25.06,78.8,27.51,80.6
507,baillif,90,GP,1592773624,62,16.02,-61.75,87.8,12.75,87.8
508,silver city,1,US,1592773624,11,32.77,-108.28,90,12.75,89.6
509,plouzane,20,FR,1592773625,87,48.38,-4.62,57.2,4.7,60.8
510,praia,20,CV,1592773327,69,14.92,-23.51,80.6,19.46,82.4
511,yuancheng,99,CN,1592773625,58,36.65,107.79,66.81,1.05,67.44
512,tecpan,,MX,,,,,,,
513,dickinson,75,US,1592773625,88,29.46,-95.05,86,14.99,89.01
514,arman,0,RU,1592773625,68,59.7,150.17,57.36,3.27,55.92
515,labuhan,100,ID,1592773626,87,-6.88,112.21,77.54,4.47,77.59
516,fairbanks,90,US,1592773561,93,64.84,-147.72,53.6,12.75,53.6
517,camana,65,PE,1592773626,71,-16.62,-72.71,64.65,8.61,64.99
518,warqla,,DZ,,,,,,,
519,katherine,0,AU,1592773626,66,-14.47,132.27,55.4,6.93,59.0
520,kodiak,75,US,1592773367,81,57.79,-152.41,53.6,10.29,51.8
521,tumaco,54,CO,1592773627,85,1.8,-78.82,79.68,12.57,80.19
522,sandpoint,75,US,1592773627,52,48.28,-116.55,71.01,11.41,72.0
523,peniche,1,PT,1592773627,87,39.36,-9.38,68,11.01,69.01
524,samfya,0,ZM,1592773627,52,-11.36,29.56,58.33,9.26,60.76
525,osmena,100,PH,1592773628,74,10.52,119.93,83.93,5.61,83.95
526,pingliang,100,CN,1592773628,73,35.54,106.69,63.52,12.21,64.27
527,westport,65,IE,1592773628,73,53.8,-9.52,55.99,8.39,55.99
528,la quinta,1,US,1592773628,22,33.66,-116.31,102.99,10.29,100.99
529,saravan,,LA,,,,,,,
530,te anau,19,NZ,1592773548,82,-45.42,167.72,36.64,1.25,36.52
531,komsomolskiy,100,RU,1592773629,61,43.98,46.7,72.27,7.65,72.68
532,khani,,RU,,,,,,,
533,pangody,9,RU,1592773557,83,65.85,74.49,44.56,11.01,45.05
534,tavira,0,PT,1592773502,45,37.13,-7.65,82.4,10.29,91.4
535,chantada,2,ES,1592773629,87,42.61,-7.77,63,3,69.01
536,furmanov,0,RU,1592773630,100,57.25,41.11,48.2,5.97,51.8
537,aasiaat,20,GL,1592773630,68,68.71,-52.87,41.56,5.1,42.08
538,severnyy,41,RU,1592773630,64,50.68,36.55,73.4,11.18,75.2
539,lahat,95,ID,1592773630,89,-3.8,103.53,72.82,1.63,73.0
540,san bernardo,90,CL,1592773630,62,-33.6,-70.72,57.2,3.36,57.2
541,polis,40,CY,1592773630,64,35.04,32.43,75.2,6.93,75.2
542,saurimo,0,AO,1592773631,36,-9.66,20.39,59.74,5.14,61.45
543,trinidad,90,UY,1592773394,93,-33.54,-56.89,55.4,9.17,55.4
544,kaeo,30,NZ,1592773631,3,-35.1,173.78,57.99,1.99,57.99
545,khorixas,0,NA,1592773631,50,-20.37,14.97,51.78,2.93,52.68
546,vilhena,16,BR,1592773509,59,-12.74,-60.15,80.19,2.21,86.0
547,tougue,77,GN,1592773632,77,11.47,-11.6,75.15,3.47,77.29
548,korla,0,CN,1592773632,88,41.76,86.15,71.01,1.99,78.01
549,fort saint john,,CA,,,,,,,
550,ninghai,82,CN,1592773632,99,29.29,121.42,75.99,1.16,75.99
551,teguldet,99,RU,1592773633,85,57.31,88.17,44.73,1.97,45.68
552,atagay,88,RU,1592773633,94,55.1,99.39,56.1,5.75,56.39
553,bud,100,NO,1592773633,82,62.91,6.91,62.6,8.05,62.6
554,the valley,20,AI,1592773633,74,18.22,-63.06,86,12.75,89.6
555,kidal,0,ML,1592773633,9,18.44,1.41,96.55,12.3,98.38
556,koumac,67,NC,1592773634,69,-20.57,164.28,69.96,4.09,68.86
557,alice springs,0,AU,1592773543,64,-23.7,133.88,35.6,5.82,35.6
558,faya,,TD,,,,,,,
559,kenai,20,US,1592773634,48,60.55,-151.26,62.01,10.29,62.01
560,billings,75,US,1592773421,36,45.78,-108.5,79,17.22,78.01
561,ust-nera,0,RU,1592773634,29,64.57,143.2,72.28,3.22,70.45
562,pacific grove,1,US,1592773340,72,36.62,-121.92,73,12.75,75.99
563,lata,,SB,,,,,,,
564,nosy varika,72,MG,1592773626,91,-20.58,48.53,67.21,4.99,67.15
565,lasa,,CN,,,,,,,
566,mitsamiouli,92,KM,1592773635,80,-11.38,43.28,78.31,16.8,78.58
567,del rio,1,US,1592773614,37,29.36,-100.9,100.4,12.75,98.6
568,sioux lookout,75,CA,1592773635,82,50.1,-91.92,60.8,6.93,57.2
569,pocosol,75,CR,1592773636,100,10.37,-84.62,73,6.93,73.4
570,uribia,88,CO,1592773636,43,11.71,-72.27,93.69,24.58,95.83
571,sovetskaya gavan,100,RU,1592773636,94,48.97,140.29,47.7,9.84,47.43
572,karratha,0,AU,1592773636,38,-20.74,116.85,64.69,11.59,65.57
573,puerto el triunfo,20,SV,1592773636,53,13.28,-88.55,95,2.24,93.2
574,bayan,0,KW,1592773606,23,29.3,48.05,93.2,4.7,96.8
575,mehamn,40,NO,1592773637,81,71.04,27.85,42.8,8.05,48.2
576,kon tum,89,VN,1592773637,93,14.35,108,70.57,0.87,70.93
577,ostersund,75,SE,1592773637,48,63.18,14.64,66.2,11.41,69.8
578,danville,20,US,1592773637,61,36.59,-79.39,84.99,3.47,86.0
579,lavrentiya,9,RU,1592773621,44,65.58,-171,56.17,5.79,55.0
580,los llanos de aridane,20,ES,1592773638,69,28.66,-17.92,73.4,14.99,73.4
581,valley city,20,US,1592773638,49,46.92,-98,69.8,4.7,69.8
582,kawalu,97,ID,1592773638,91,-7.38,108.21,71.94,0.96,72.36
583,marcona,,PE,,,,,,,
584,doha,,KW,,,,,,,
585,dudinka,98,RU,1592773639,70,69.41,86.18,48.2,6.71,46.4
586,artyom,3,AZ,1592773639,54,40.47,50.33,78.8,20.8,78.8
587,roncesvalles,40,CO,1592773639,66,4.01,-75.6,84.2,11.41,86.0
588,taganak,20,PH,1592773639,94,6.08,118.3,78.8,2.24,78.8
589,fortuna foothills,1,US,1592773639,10,32.66,-114.41,108,4.7,105.01
590,riyadh,0,SA,1592773426,23,24.69,46.72,87.8,3.36,91.4
591,virginia beach,40,US,1592773524,69,36.85,-75.98,80.01,8.05,82.0
592,omsukchan,95,RU,1592773602,34,62.53,155.8,70.99,1.72,68.25
593,poum,56,NC,1592773621,72,-20.23,164.02,72.14,12.68,71.87
594,townsville,0,AU,1592773640,100,-19.25,146.8,64,4.29,64.99
595,guelavia,,MX,,,,,,,
596,hofn,100,IS,1592773640,87,64.25,-15.21,50.83,17.87,51.3
597,sumbe,0,AO,1592773641,85,-11.21,13.84,71.46,5.08,71.49
598,fallon,40,US,1592773444,12,39.47,-118.78,89.01,3.36,87.8
599,margate,43,ZA,1592773641,69,-30.86,30.37,65.46,8.08,66.36
600,shache,0,CN,1592773433,19,38.42,77.24,71.24,5.97,72.14
601,santo tomas,46,PE,1592773641,30,-14.45,-72.08,60.35,4.83,61.05
602,scottsburgh,,ZA,,,,,,,
603,nelson bay,40,AU,1592773642,81,-32.72,152.15,48.2,5.82,48.2
604,oksfjord,50,NO,1592773642,44,70.24,22.35,59,10.29,60.8
605,betafo,87,MG,1592773642,86,-19.83,46.85,57.36,3.96,58.39
606,jawhar,43,IN,1592773643,96,19.92,73.23,74.7,6.02,75.06
607,aflu,,DZ,,,,,,,
608,kitui,91,KE,1592773643,80,-1.37,38.01,63.86,7.14,65.12
609,akyab,87,MM,1592773643,84,20.15,92.9,81.64,11.43,82.44
610,kargil,2,IN,1592773643,52,34.57,76.1,51.69,3.71,52.39
611,chumikan,100,RU,1592773643,96,54.72,135.31,39.51,6.62,39.22
612,kuchera,8,IN,1592773644,41,26.98,73.97,92.84,13.65,93.56
613,halifax,61,CA,1592773501,72,44.65,-63.57,64,1.01,64.99
614,wewak,39,PG,1592773644,84,-3.55,143.63,79.41,5.35,79.11
615,uhlove,0,UA,1592773644,84,44.82,33.6,69.55,4.25,70.36
616,kisangani,12,CD,1592773644,70,0.52,25.2,74.26,0.94,77.45
